"","Var1","Freq","sample","timepoint"
"1","duke248_p3_primary",497,"duke248_p3","primary"
"2","duke248_p3_recurrence",237,"duke248_p3","recurrence"
"3","duke254_p4_primary",711,"duke254_p4","primary"
"4","duke254_p4_recurrence",237,"duke254_p4","recurrence"
"5","nki12_p12_primary",526,"nki12_p12","primary"
"6","nki12_p12_recurrence",334,"nki12_p12","recurrence"
"7","nki15_p10_primary",284,"nki15_p10","primary"
"8","nki15_p10_recurrence",225,"nki15_p10","recurrence"
"9","nki19_p8_primary",624,"nki19_p8","primary"
"10","nki19_p8_recurrence",886,"nki19_p8","recurrence"
"11","nki22_p9_primary",284,"nki22_p9","primary"
"12","nki22_p9_recurrence",598,"nki22_p9","recurrence"
"13","nki23_p5_primary",872,"nki23_p5","primary"
"14","nki23_p5_recurrence",1000,"nki23_p5","recurrence"
"15","nki26_p6_primary",449,"nki26_p6","primary"
"16","nki26_p6_recurrence",928,"nki26_p6","recurrence"
"17","nki28_p7_primary",529,"nki28_p7","primary"
"18","nki28_p7_recurrence",716,"nki28_p7","recurrence"
"19","nki31_p11_primary",503,"nki31_p11","primary"
"20","nki31_p11_recurrence",444,"nki31_p11","recurrence"
