"","sample","timepoint","facs_ploidies"
"1","nki12_p12","Primary",3.548724331
"2","nki12_p12","Recurrence",3.709368831
"3","nki15_p10","Primary",3.923176231
"4","nki15_p10","Recurrence",3.915846907
"5","nki19_p8","Primary",4.199102452
"6","nki19_p8","Recurrence",3.810433174
"7","nki22_p9","Primary",3.404470108
"8","nki22_p9","Recurrence",3.453301027
"9","nki23_p5","Primary",3.581553487
"10","nki23_p5","Recurrence",5.23689588
"11","nki26_p6","Primary",3.606741573
"12","nki26_p6","Recurrence",3.073398025
"13","nki28_p7","Primary",3.139105553
"14","nki28_p7","Recurrence",3.484904946
"15","nki31_p11","Primary",3.297949084
"16","nki31_p11","Recurrence",2.712880327
"17","duke248_p3","Primary",2
"18","duke248_p3","Recurrence",2
"19","duke254_p4","Primary",2.767570401
"20","duke254_p4","Recurrence",4.15880088
