"","sample","num_cna","timepoint"
"1","duke248_p3","12","Primary"
"2","duke248_p3","27","Recurrence"
"3","duke254_p4","26.2222222222222","Primary"
"4","duke254_p4","30.4","Recurrence"
"5","nki23_p5","10.8","Primary"
"6","nki23_p5","22.5454545454545","Recurrence"
"7","nki26_p6","46","Primary"
"8","nki26_p6","87.7","Recurrence"
"9","nki28_p7","95","Primary"
"10","nki28_p7","86.2","Recurrence"
"11","nki19_p8","13.3333333333333","Primary"
"12","nki19_p8","22.2666666666667","Recurrence"
"13","nki22_p9","89","Primary"
"14","nki22_p9","91.3333333333333","Recurrence"
"15","nki15_p10","29.2222222222222","Primary"
"16","nki15_p10","30.1428571428571","Recurrence"
"17","nki31_p11","80.8571428571429","Primary"
"18","nki31_p11","63","Recurrence"
"19","nki12_p12","50.8461538461538","Primary"
"20","nki12_p12","49.25","Recurrence"
